Age,gender,How often do you feel stressed?,How often have you felt anxious or worried in the past month?,"How often have you felt down, depressed, or hopeless?",How often do you engage in self-care activities?,How would you rate your sleep quality over the past week?,How often do you exercise?,How balanced do you consider your diet?,How often do you consume alcohol or use recreational substances?,How satisfied are you with your academic performance?,How pressured do you feel by your academic responsibilities?,How often do you procrastinate?,How balanced do you feel between work/study and personal life?,How resilient do you consider yourself in the face of challenges?,How optimistic are you about your future?,How aware are you of your emotions and feelings?,How effective are your coping mechanisms?,How often do you feel lonely?,How would you rate your relationship with your family?,How satisfied are you with your romantic relationship (if applicable)?,How anxious do you feel in social situations?,How confident are you in your communication skills?,Have you ever been diagnosed with a mental health condition?,Have you ever attended therapy or counseling sessions?,How would you rate your physical health over the past month?,risk_level,risk_score
22.276070223279888,,2.953549587280002,2.0,1.0,1.0,2.0,2.9070991745600043,1.9535495872800024,5.0,1.9535495872800024,2.046450412719998,1.9535495872800024,1.9535495872800024,1.9535495872800024,1.9535495872800024,1.0929008254399954,1.9535495872800024,1.9535495872800024,1.0,5.0,1.0,1.0929008254399954,,,1.9535495872800024,Low,12
39.23030225682952,,2.607544851901438,2.0,1.0,1.0,2.0,2.2150897038028767,1.6075448519014384,5.0,1.6075448519014384,2.392455148098562,1.6075448519014384,1.6075448519014384,1.6075448519014384,1.6075448519014384,1.7849102961971233,1.6075448519014384,1.6075448519014384,1.0,5.0,1.0,1.7849102961971233,,,1.6075448519014384,Low,12
28.355682060677285,,2.8294758763127086,2.0,1.0,1.0,2.0,2.658951752625417,1.8294758763127088,5.0,1.8294758763127088,2.1705241236872914,1.8294758763127088,1.8294758763127088,1.8294758763127088,1.8294758763127088,1.341048247374583,1.8294758763127088,1.8294758763127088,1.0,5.0,1.0,1.341048247374583,,,1.8294758763127088,Low,12
23.187528056278698,,2.9349484070147205,2.0,1.0,1.0,2.0,2.869896814029441,1.9349484070147205,5.0,1.9349484070147205,2.0650515929852795,1.9349484070147205,1.9349484070147205,1.9349484070147205,1.9349484070147205,1.130103185970559,1.9349484070147205,1.9349484070147205,1.0,5.0,1.0,1.130103185970559,,,1.9349484070147205,Low,12
66.49539132541332,,2.051114462746667,2.0,1.0,1.0,2.0,1.1022289254933335,1.0511144627466669,5.0,1.0511144627466669,2.948885537253333,1.0511144627466669,1.0511144627466669,1.0511144627466669,1.0511144627466669,2.8977710745066663,1.0511144627466669,1.0511144627466669,1.0,5.0,1.0,2.8977710745066663,,,1.0511144627466669,Low,12
67.3159696206534,,2.0343679669254406,2.0,1.0,1.0,2.0,1.0687359338508813,1.0343679669254406,5.0,1.0343679669254406,2.96563203307456,1.0343679669254406,1.0343679669254406,1.0343679669254406,1.0343679669254406,2.9312640661491187,1.0343679669254406,1.0343679669254406,1.0,5.0,1.0,2.9312640661491187,,,1.0343679669254406,Low,12
29.388529942293403,,2.808397348116461,2.0,1.0,1.0,2.0,2.6167946962329225,1.8083973481164608,5.0,1.8083973481164608,2.1916026518835388,1.8083973481164608,1.8083973481164608,1.8083973481164608,1.8083973481164608,1.3832053037670775,1.8083973481164608,1.8083973481164608,1.0,5.0,1.0,1.3832053037670775,,,1.8083973481164608,Low,12
34.92607468949517,,2.695386230826629,2.0,1.0,1.0,2.0,2.390772461653259,1.6953862308266294,5.0,1.6953862308266294,2.3046137691733706,1.6953862308266294,1.6953862308266294,1.6953862308266294,1.6953862308266294,1.6092275383467414,1.6953862308266294,1.6953862308266294,1.0,5.0,1.0,1.6092275383467414,,,1.6953862308266294,Low,12
64.21406641368719,,2.097672114006384,2.0,1.0,1.0,2.0,1.1953442280127675,1.097672114006384,5.0,1.097672114006384,2.902327885993616,1.097672114006384,1.097672114006384,1.097672114006384,1.097672114006384,2.8046557719872323,1.097672114006384,1.097672114006384,1.0,5.0,1.0,2.8046557719872323,,,1.097672114006384,Low,12
35.472581700904314,,2.684233026512157,2.0,1.0,1.0,2.0,2.3684660530243136,1.6842330265121568,5.0,1.6842330265121568,2.315766973487843,1.6842330265121568,1.6842330265121568,1.6842330265121568,1.6842330265121568,1.6315339469756862,1.6842330265121568,1.6842330265121568,1.0,5.0,1.0,1.6315339469756862,,,1.6842330265121568,Low,12
47.43252780675954,,2.440152493739601,2.0,1.0,1.0,2.0,1.8803049874792024,1.4401524937396013,5.0,1.4401524937396013,2.5598475062603985,1.4401524937396013,1.4401524937396013,1.4401524937396013,1.4401524937396013,2.1196950125207974,1.4401524937396013,1.4401524937396013,1.0,5.0,1.0,2.1196950125207974,,,1.4401524937396013,Low,12
25.979873507394164,,2.877961765155221,2.0,1.0,1.0,2.0,2.7559235303104423,1.8779617651552207,5.0,1.8779617651552207,2.122038234844779,1.8779617651552207,1.8779617651552207,1.8779617651552207,1.8779617651552207,1.2440764696895577,1.8779617651552207,1.8779617651552207,1.0,5.0,1.0,1.2440764696895577,,,1.8779617651552207,Low,12
44.73633140454776,,2.49517691011127,2.0,1.0,1.0,2.0,1.9903538202225404,1.4951769101112702,5.0,1.4951769101112702,2.50482308988873,1.4951769101112702,1.4951769101112702,1.4951769101112702,1.4951769101112702,2.00964617977746,1.4951769101112702,1.4951769101112702,1.0,5.0,1.0,2.00964617977746,,,1.4951769101112702,Low,12
21.6850375346457,,2.9656114788847816,2.0,1.0,1.0,2.0,2.931222957769563,1.9656114788847816,5.0,1.9656114788847816,2.0343885211152184,1.9656114788847816,1.9656114788847816,1.9656114788847816,1.9656114788847816,1.0687770422304368,1.9656114788847816,1.9656114788847816,1.0,5.0,1.0,1.0687770422304368,,,1.9656114788847816,Low,12
24.443300298139675,,2.909320402078782,2.0,1.0,1.0,2.0,2.818640804157564,1.909320402078782,5.0,1.909320402078782,2.090679597921218,1.909320402078782,1.909320402078782,1.909320402078782,1.909320402078782,1.181359195842436,1.909320402078782,1.909320402078782,1.0,5.0,1.0,1.181359195842436,,,1.909320402078782,Low,12
56.31978090159917,,2.258779981600017,2.0,1.0,1.0,2.0,1.5175599632000338,1.258779981600017,5.0,1.258779981600017,2.741220018399983,1.258779981600017,1.258779981600017,1.258779981600017,1.258779981600017,2.482440036799966,1.258779981600017,1.258779981600017,1.0,5.0,1.0,2.482440036799966,,,1.258779981600017,Low,12
36.536408066654886,,2.662522284353982,2.0,1.0,1.0,2.0,2.325044568707964,1.662522284353982,5.0,1.662522284353982,2.337477715646018,1.662522284353982,1.662522284353982,1.662522284353982,1.662522284353982,1.674955431292036,1.662522284353982,1.662522284353982,1.0,5.0,1.0,1.674955431292036,,,1.662522284353982,Low,12
53.72615727161886,,2.311711076089411,2.0,1.0,1.0,2.0,1.623422152178822,1.311711076089411,5.0,1.311711076089411,2.688288923910589,1.311711076089411,1.311711076089411,1.311711076089411,1.311711076089411,2.376577847821178,1.311711076089411,1.311711076089411,1.0,5.0,1.0,2.376577847821178,,,1.311711076089411,Low,12
43.51666696228728,,2.520068021177811,2.0,1.0,1.0,2.0,2.0401360423556216,1.5200680211778108,5.0,1.5200680211778108,2.479931978822189,1.5200680211778108,1.5200680211778108,1.5200680211778108,1.5200680211778108,1.9598639576443784,1.5200680211778108,1.5200680211778108,1.0,5.0,1.0,1.9598639576443784,,,1.5200680211778108,Low,12
42.2111963121793,,2.54671027934328,2.0,1.0,1.0,2.0,2.0934205586865597,1.5467102793432796,5.0,1.5467102793432796,2.4532897206567204,1.5467102793432796,1.5467102793432796,1.5467102793432796,1.5467102793432796,1.9065794413134407,1.5467102793432796,1.5467102793432796,1.0,5.0,1.0,1.9065794413134407,,,1.5467102793432796,Low,12
59.94213167924917,,2.184854455525527,2.0,1.0,1.0,2.0,1.369708911051054,1.1848544555255272,5.0,1.1848544555255272,2.815145544474473,1.1848544555255272,1.1848544555255272,1.1848544555255272,1.1848544555255272,2.6302910889489457,1.1848544555255272,1.1848544555255272,1.0,5.0,1.0,2.6302910889489457,,,1.1848544555255272,Low,12
21.49035323953663,,2.969584627764559,2.0,1.0,1.0,2.0,2.939169255529117,1.9695846277645583,5.0,1.9695846277645583,2.030415372235441,1.9695846277645583,1.9695846277645583,1.9695846277645583,1.9695846277645583,1.0608307444708829,1.9695846277645583,1.9695846277645583,1.0,5.0,1.0,1.0608307444708829,,,1.9695846277645583,Low,12
57.98150834469461,,2.224867176638885,2.0,1.0,1.0,2.0,1.449734353277771,1.2248671766388854,5.0,1.2248671766388854,2.7751328233611146,1.2248671766388854,1.2248671766388854,1.2248671766388854,1.2248671766388854,2.550265646722229,1.2248671766388854,1.2248671766388854,1.0,5.0,1.0,2.550265646722229,,,1.2248671766388854,Low,12
66.03544813664527,,2.0605010584358108,2.0,1.0,1.0,2.0,1.1210021168716218,1.0605010584358108,5.0,1.0605010584358108,2.939498941564189,1.0605010584358108,1.0605010584358108,1.0605010584358108,1.0605010584358108,2.8789978831283785,1.0605010584358108,1.0605010584358108,1.0,5.0,1.0,2.8789978831283785,,,1.0605010584358108,Low,12
25.15345982904521,,2.894827350427649,2.0,1.0,1.0,2.0,2.789654700855298,1.894827350427649,5.0,1.894827350427649,2.105172649572351,1.894827350427649,1.894827350427649,1.894827350427649,1.894827350427649,1.2103452991447023,1.894827350427649,1.894827350427649,1.0,5.0,1.0,1.2103452991447023,,,1.894827350427649,Low,12
39.702901038256826,,2.597899978811085,2.0,1.0,1.0,2.0,2.19579995762217,1.597899978811085,5.0,1.597899978811085,2.402100021188915,1.597899978811085,1.597899978811085,1.597899978811085,1.597899978811085,1.8042000423778295,1.597899978811085,1.597899978811085,1.0,5.0,1.0,1.8042000423778295,,,1.597899978811085,Low,12
23.828162483867278,,2.921874235023117,2.0,1.0,1.0,2.0,2.8437484700462337,1.9218742350231168,5.0,1.9218742350231168,2.078125764976883,1.9218742350231168,1.9218742350231168,1.9218742350231168,1.9218742350231168,1.1562515299537663,1.9218742350231168,1.9218742350231168,1.0,5.0,1.0,1.1562515299537663,,,1.9218742350231168,Low,12
24.33613260054405,,2.9115074979480804,2.0,1.0,1.0,2.0,2.823014995896161,1.9115074979480804,5.0,1.9115074979480804,2.08849250205192,1.9115074979480804,1.9115074979480804,1.9115074979480804,1.9115074979480804,1.176985004103839,1.9115074979480804,1.9115074979480804,1.0,5.0,1.0,1.176985004103839,,,1.9115074979480804,Low,12
59.39683974146189,,2.1959828624191453,2.0,1.0,1.0,2.0,1.3919657248382904,1.1959828624191453,5.0,1.1959828624191453,2.8040171375808547,1.1959828624191453,1.1959828624191453,1.1959828624191453,1.1959828624191453,2.6080342751617094,1.1959828624191453,1.1959828624191453,1.0,5.0,1.0,2.6080342751617094,,,1.1959828624191453,Low,12
22.21613715661637,,2.954772711089462,2.0,1.0,1.0,2.0,2.909545422178924,1.954772711089462,5.0,1.954772711089462,2.045227288910538,1.954772711089462,1.954772711089462,1.954772711089462,1.954772711089462,1.090454577821076,1.954772711089462,1.954772711089462,1.0,5.0,1.0,1.090454577821076,,,1.954772711089462,Low,12
35.94118620739995,,2.6746696692367355,2.0,1.0,1.0,2.0,2.349339338473471,1.6746696692367355,5.0,1.6746696692367355,2.3253303307632645,1.6746696692367355,1.6746696692367355,1.6746696692367355,1.6746696692367355,1.650660661526529,1.6746696692367355,1.6746696692367355,1.0,5.0,1.0,1.650660661526529,,,1.6746696692367355,Low,12
39.04518719478462,,2.611322710310518,2.0,1.0,1.0,2.0,2.222645420621036,1.611322710310518,5.0,1.611322710310518,2.388677289689482,1.611322710310518,1.611322710310518,1.611322710310518,1.611322710310518,1.777354579378964,1.611322710310518,1.611322710310518,1.0,5.0,1.0,1.777354579378964,,,1.611322710310518,Low,12
33.2961025569209,,2.728650968226104,2.0,1.0,1.0,2.0,2.4573019364522084,1.7286509682261042,5.0,1.7286509682261042,2.271349031773896,1.7286509682261042,1.7286509682261042,1.7286509682261042,1.7286509682261042,1.5426980635477918,1.7286509682261042,1.7286509682261042,1.0,5.0,1.0,1.5426980635477918,,,1.7286509682261042,Low,12
60.608137948444536,,2.1712624908480707,2.0,1.0,1.0,2.0,1.342524981696141,1.1712624908480709,5.0,1.1712624908480709,2.8287375091519293,1.1712624908480709,1.1712624908480709,1.1712624908480709,1.1712624908480709,2.6574750183038587,1.1712624908480709,1.1712624908480709,1.0,5.0,1.0,2.6574750183038587,,,1.1712624908480709,Low,12
