Age,gender,How often do you feel stressed?,How often have you felt anxious or worried in the past month?,"How often have you felt down, depressed, or hopeless?",How often do you engage in self-care activities?,How would you rate your sleep quality over the past week?,How often do you exercise?,How balanced do you consider your diet?,How often do you consume alcohol or use recreational substances?,How satisfied are you with your academic performance?,How pressured do you feel by your academic responsibilities?,How often do you procrastinate?,How balanced do you feel between work/study and personal life?,How resilient do you consider yourself in the face of challenges?,How optimistic are you about your future?,How aware are you of your emotions and feelings?,How effective are your coping mechanisms?,How often do you feel lonely?,How would you rate your relationship with your family?,How satisfied are you with your romantic relationship (if applicable)?,How anxious do you feel in social situations?,How confident are you in your communication skills?,Have you ever been diagnosed with a mental health condition?,Have you ever attended therapy or counseling sessions?,How would you rate your physical health over the past month?,risk_level,risk_score
21.0,,3.0,2.0,2.0,1.0,1.0,5.0,5.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,,,3.0,Moderate,33
21.0,,3.0,3.0,3.0,4.0,3.0,2.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,,,2.0,Moderate,47
21.69575775704046,,4.3915155140809246,3.6957577570404623,1.3042422429595375,2.3042422429595377,3.391515514080925,4.695757757040463,4.304242242959537,4.695757757040463,3.3042422429595377,5.0,5.0,3.3042422429595377,4.3915155140809246,4.087273271121386,3.3042422429595377,4.0,3.3042422429595377,1.6084844859190754,4.3915155140809246,5.0,2.6084844859190754,,,3.0,Low,12
21.0,,5.0,5.0,4.5247564316322375,5.0,5.0,5.0,5.0,5.0,5.0,3.5742692948967134,5.0,5.0,5.0,4.0,3.950487136735524,3.0,4.049512863264476,3.0,3.950487136735524,3.524756431632238,2.524756431632238,,,3.950487136735524,Moderate,40
21.0,,4.568054981357884,4.136109962715769,4.136109962715769,4.568054981357884,4.568054981357884,5.0,5.0,5.0,4.568054981357884,3.7041649440736526,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,4.568054981357884,Moderate,42
21.0,,4.0,4.708770859801958,4.291229140198042,3.417541719603916,3.291229140198042,4.0,3.291229140198042,5.0,4.0,3.291229140198042,3.708770859801958,2.291229140198042,4.417541719603916,4.708770859801958,1.291229140198042,4.708770859801958,3.708770859801958,3.0,5.0,2.708770859801958,4.417541719603916,,,3.291229140198042,Low,17
21.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.61185289472238,4.223705789444759,4.223705789444759,5.0,4.223705789444759,4.223705789444759,4.61185289472238,4.223705789444759,,,4.223705789444759,Moderate,42
21.0,,4.860506139347958,4.721012278695916,4.721012278695916,4.860506139347958,4.860506139347958,5.0,5.0,5.0,4.860506139347958,4.581518418043874,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,4.860506139347958,Moderate,42
21.0,,5.0,5.0,5.0,4.415710702929564,3.292144648535218,3.0,4.292144648535218,5.0,3.5842892970704363,4.0,4.292144648535218,4.0,2.707855351464782,3.292144648535218,2.707855351464782,3.292144648535218,3.292144648535218,3.0,4.415710702929564,3.0,2.707855351464782,,,2.0,Low,24
21.633638156706308,,4.267276313412617,3.633638156706308,1.3663618432936917,2.366361843293692,3.2672763134126166,4.633638156706308,4.366361843293692,4.633638156706308,3.366361843293692,5.0,5.0,3.366361843293692,4.267276313412617,3.900914470118925,3.366361843293692,4.0,3.366361843293692,1.7327236865873834,4.267276313412617,5.0,2.7327236865873834,,,3.0,Low,12
21.0,,4.456069984217036,3.912139968434072,3.912139968434072,4.456069984217036,4.456069984217036,5.0,5.0,5.0,4.456069984217036,3.368209952651108,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,4.456069984217036,Moderate,42
20.214824038606988,,3.785175961393014,4.570351922786028,2.785175961393014,4.570351922786028,2.0,4.0,4.214824038606986,4.785175961393014,4.785175961393014,5.0,4.214824038606986,4.0,3.0,2.785175961393014,1.6444721158209594,3.214824038606986,4.0,1.4296480772139728,4.570351922786028,4.214824038606986,4.785175961393014,,,3.0,Low,15
21.80032621784164,,4.600652435683281,3.80032621784164,1.1996737821583596,2.19967378215836,3.6006524356832807,4.80032621784164,4.19967378215836,4.80032621784164,3.19967378215836,5.0,5.0,3.19967378215836,4.600652435683281,4.400978653524921,3.19967378215836,4.0,3.19967378215836,1.3993475643167197,4.600652435683281,5.0,2.3993475643167197,,,3.0,Low,12
21.0,,4.0,4.485765561586389,4.514234438413611,2.971531123172777,3.514234438413612,4.0,3.514234438413612,5.0,4.0,3.514234438413612,3.4857655615863883,2.514234438413612,3.971531123172777,4.485765561586389,1.5142344384136115,4.485765561586389,3.4857655615863883,3.0,5.0,2.4857655615863883,3.971531123172777,,,3.514234438413612,Low,17
21.0,,4.0,4.407585431137957,4.592414568862043,2.815170862275915,3.5924145688620426,4.0,3.5924145688620426,5.0,4.0,3.5924145688620426,3.4075854311379574,2.5924145688620426,3.815170862275915,4.407585431137957,1.5924145688620426,4.407585431137957,3.4075854311379574,3.0,5.0,2.4075854311379574,3.815170862275915,,,3.5924145688620426,Low,17
21.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.046450412719998,3.092900825439996,3.092900825439996,5.0,3.092900825439996,3.092900825439996,4.046450412719998,3.092900825439996,,,3.092900825439996,Moderate,42
21.0,,5.0,5.0,5.0,3.7849102961971233,3.607544851901438,3.0,4.607544851901438,5.0,4.215089703802876,4.0,4.607544851901438,4.0,2.392455148098562,3.607544851901438,2.392455148098562,3.607544851901438,3.607544851901438,3.0,3.7849102961971233,3.0,2.392455148098562,,,2.0,Low,24
21.0,,5.0,5.0,4.170524123687292,5.0,5.0,5.0,5.0,5.0,5.0,2.5115723710618747,5.0,5.0,5.0,4.0,4.658951752625417,3.0,3.341048247374583,3.0,4.658951752625417,3.1705241236872914,2.1705241236872914,,,4.658951752625417,Moderate,40
21.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.065051592985279,3.130103185970559,3.130103185970559,5.0,3.130103185970559,3.130103185970559,4.065051592985279,3.130103185970559,,,3.130103185970559,Moderate,42
21.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.948885537253333,4.897771074506666,4.897771074506666,5.0,4.897771074506666,4.897771074506666,4.948885537253333,4.897771074506666,,,4.897771074506666,Moderate,42
20.03436796692544,,3.96563203307456,4.931264066149119,2.96563203307456,4.931264066149119,2.0,4.0,4.034367966925441,4.965632033074559,4.965632033074559,5.0,4.034367966925441,4.0,3.0,2.96563203307456,1.103103900776322,3.0343679669254406,4.0,1.0687359338508813,4.931264066149119,4.034367966925441,4.965632033074559,,,3.0,Low,15
21.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.233589392465845,5.0,5.0,5.0,5.0,5.0,5.0,4.233589392465845,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,High,57
21.0,,5.0,5.0,5.0,4.390772461653259,3.3046137691733706,3.0,4.304613769173371,5.0,3.609227538346741,4.0,4.304613769173371,4.0,2.695386230826629,3.3046137691733706,2.695386230826629,3.3046137691733706,3.3046137691733706,3.0,4.390772461653259,3.0,2.695386230826629,,,2.0,Low,24
21.0,,4.097672114006384,4.097672114006384,5.0,2.097672114006384,4.0,3.902327885993616,4.097672114006384,5.0,4.097672114006384,4.0,3.195344228012768,3.097672114006384,2.902327885993616,4.0,2.0,4.0,3.097672114006384,3.0,4.804655771987232,2.097672114006384,2.902327885993616,,,3.804655771987232,Low,21
21.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.684233026512157,4.368466053024314,4.368466053024314,5.0,4.368466053024314,4.368466053024314,4.684233026512157,4.368466053024314,,,4.368466053024314,Moderate,42
21.0,,4.559847506260399,5.0,4.559847506260399,2.320457481218804,1.8803049874792024,2.320457481218804,1.8803049874792024,5.0,3.440152493739601,4.119695012520797,4.559847506260399,1.4401524937396013,5.0,5.0,3.239390025041595,5.0,4.559847506260399,4.119695012520797,5.0,4.119695012520797,5.0,,,4.119695012520797,Low,21
